page_slug,category_raw,occurrence,correct_category,note
golyam-sechko-run26-results,15КМ МЪЖЕ,2,15КМ ЖЕНИ,"audit 2026-08-22, 15 rows, file was golyam-sechko-run26-results__15км-мъже-2.json"
полумаратон-palakaria23-results,21.5KM ЖЕНИ,2,10.75КМ,"audit 2026-08-22, 11 rows, file was полумаратон-palakaria23-results__215km-жени-2.json"
cactus-run18-ranking,20KM,2,20KM ЖЕНИ,"audit 2026-08-22, 9 rows, file was cactus-run18-ranking__20km-2.json"
cactus-run18-ranking,13.5KM,2,13.5KM ЖЕНИ,"audit 2026-08-22, 15 rows, file was cactus-run18-ranking__135km-2.json"
cactus-run18-ranking,6.6KM,2,6.6KM ЖЕНИ,"audit 2026-08-22, 41 rows, file was cactus-run18-ranking__66km-2.json"
golyam-sechko-run16-класиране,16КМ,2,16КМ ЖЕНИ,"audit 2026-08-22, 8 rows, file was golyam-sechko-run16-класиране__16км-2.json"
golyam-sechko-run16-класиране,9.5KM,2,9.5KM ЖЕНИ,"audit 2026-08-22, 8 rows, file was golyam-sechko-run16-класиране__95km-2.json"
golyam-sechko-run16-класиране,6.5KM,2,6.5KM ЖЕНИ,"audit 2026-08-22, 11 rows, file was golyam-sechko-run16-класиране__65km-2.json"
golyam-sechko-run16-класиране,6.5KM,3,6.5KM Деца момичета,"audit 2026-08-22, 3 rows, file was golyam-sechko-run16-класиране__65km-3.json"
golyam-sechko-run16-класиране,6.5KM,4,6.5KM Деца момчета,"audit 2026-08-22, 1 rows, file was golyam-sechko-run16-класиране__65km-4.json"
golyam-sechko-run17-ranking,16КМ,2,16КМ ЖЕНИ,"audit 2026-08-22, 3 rows, file was golyam-sechko-run17-ranking__16км-2.json"
golyam-sechko-run17-ranking,9.5КМ,2,9.5КМ ЖЕНИ,"audit 2026-08-22, 9 rows, file was golyam-sechko-run17-ranking__95км-2.json"
golyam-sechko-run17-ranking,6.5КМ,2,6.5КМ ЖЕНИ,"audit 2026-08-22, 6 rows, file was golyam-sechko-run17-ranking__65км-2.json"
golyam-sechko-run17-ranking,6.5КМ,3,6.5КМ Деца,"audit 2026-08-22, 2 rows, file was golyam-sechko-run17-ranking__65км-3.json"
golyam-sechko-run18-ranking,,1,16км МЪЖЕ,"audit 2026-08-22, 49 rows, file was golyam-sechko-run18-ranking__all.json"
golyam-sechko-run18-ranking,,2,16км ЖЕНИ,"audit 2026-08-22, 13 rows, file was golyam-sechko-run18-ranking__all-2.json"
golyam-sechko-run18-ranking,,3,9КМ МЪЖЕ,"audit 2026-08-22, 35 rows, file was golyam-sechko-run18-ranking__all-3.json"
golyam-sechko-run18-ranking,,4,9КМ ЖЕНИ,"audit 2026-08-22, 15 rows, file was golyam-sechko-run18-ranking__all-4.json"
golyam-sechko-run18-ranking,,5,6.5КМ МЪЖЕ,"audit 2026-08-22, 37 rows, file was golyam-sechko-run18-ranking__all-5.json"
golyam-sechko-run18-ranking,,6,6.5КМ ЖЕНИ,"audit 2026-08-22, 11 rows, file was golyam-sechko-run18-ranking__all-6.json"
golyam-sechko-run19-ranking,16КМ,2,16КМ ЖЕНИ,"audit 2026-08-22, 12 rows, file was golyam-sechko-run19-ranking__16км-2.json"
golyam-sechko-run19-ranking,9.5КМ,2,9.5КМ ЖЕНИ,"audit 2026-08-22, 11 rows, file was golyam-sechko-run19-ranking__95км-2.json"
golyam-sechko-run19-ranking,6.5КМ,2,6.5КМ ЖЕНИ,"audit 2026-08-22, 14 rows, file was golyam-sechko-run19-ranking__65км-2.json"
golyam-sechko-run24-ranking,15км МЪЖЕ,2,__DROP__,"audit 2026-08-22, 39 rows, file was golyam-sechko-run24-ranking__15км-мъже-2.json"
golyam-sechko-run24-ranking,15км МЪЖЕ,3,__DROP__,"audit 2026-08-22, 14 rows, file was golyam-sechko-run24-ranking__15км-мъже-3.json"
golyam-sechko-run24-ranking,6км ЖЕНИ,2,__DROP__,"audit 2026-08-22, 11 rows, file was golyam-sechko-run24-ranking__6km-f-2.json"
golyam-sechko-run24-ranking,6км МЪЖЕ,2,__DROP__,"audit 2026-08-22, 15 rows, file was golyam-sechko-run24-ranking__6km-m-2.json"
golyam-sechko-run24-ranking,9км ЖЕНИ,2,__DROP__,"audit 2026-08-22, 11 rows, file was golyam-sechko-run24-ranking__9км-жени-2.json"
golyam-sechko-run24-ranking,9км МЪЖЕ,2,__DROP__,"audit 2026-08-22, 28 rows, file was golyam-sechko-run24-ranking__9km-m-2.json"
