event,track_title,slug,distance_km,ascent_m,gpx_url,suggested_strava_name
7 Hills Run,7 Hills Run 6KM,7-hills-run-6km,5.72,208,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/7_hills_run_6km_.gpx,TrailSeries – 7 Hills Run 6KM
7 Hills Run,7 Hills Run 13km,7-hills-run-13km,13.27,639,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/7_hills_run_13km_2.gpx,TrailSeries – 7 Hills Run 13km
7 Hills Run,7 Hills Run 19KM,7-hills-run-19km,18.11,954,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/7_hills_run_19km_.gpx,TrailSeries – 7 Hills Run 19KM
7 Hills Run,7 Hills Run - Hard Core Edition 26km,7-hills-run-hard-core-edition-26km,26.96,1268,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/7_hills_run_hard_core_edition_26km_.gpx,TrailSeries – 7 Hills Run - Hard Core Edition 26km
Baba Marta Run,Baba Marta Run - 6KM,baba-marta-run-6km-0,5.99,261,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/baba_marta_run_6km_.gpx,TrailSeries – Baba Marta Run - 6KM
Baba Marta Run,Baba Marta Run - 10KM,baba-marta-run-10km-0,9.13,507,,TrailSeries – Baba Marta Run - 10KM
Baba Marta Run,Baba Marta Run - 16KM,baba-marta-run-16km-0,15.17,877,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/baba_marta_run_16km_0.gpx,TrailSeries – Baba Marta Run - 16KM
Birthday Run,Birthday Run 5.5KM,birthday-run-55km,5.73,326,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/birthday_run_5_5km.gpx,TrailSeries – Birthday Run 5.5KM
Birthday Run,Birthday Run 11KM,birthday-run-11km,11.63,543,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/birthday_run_11km.gpx,TrailSeries – Birthday Run 11KM
Birthday Run,Birthday Run 17.5КМ,birthday-run-175km,17.51,835,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/birthday_run_.gpx,TrailSeries – Birthday Run 17.5КМ
Boyana X Trail,Boyana X Trail - 10km,boyana-x-trail-10km,9.98,808,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/boyana_x_trail_10km.gpx,TrailSeries – Boyana X Trail - 10km
Boyana X Trail,Boyana X Trails - long,boyana-x-trails-long,16.56,1519,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/boyana_x_trails_long.gpx,TrailSeries – Boyana X Trails - long
Buhovo Half Marathon,Buhovo Half Marathon,buhovo-half-marathon,21.04,1073,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/buhovo_half_marathon.gpx,TrailSeries – Buhovo Half Marathon
Buhovo Trail Run,Buhovo Trail Run,buhovo-trail-run,10.71,579,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/buhovo_trail_run.gpx,TrailSeries – Buhovo Trail Run
Golyam Sechko Run,Golyam Sechko 6.2km,golyam-sechko-62km,6.26,314,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/golyam_sechko_6_2km.gpx,TrailSeries – Golyam Sechko 6.2km
Golyam Sechko Run,Golyam Sechko Run - 6.5KM,golyam-sechko-run-65km,6.5,323,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/golyam_sechko_run_6_5km_0.gpx,TrailSeries – Golyam Sechko Run - 6.5KM
Golyam Sechko Run,Golyam Sechko Run - Middle 9KM,golyam-sechko-run-middle-9km-0,8.58,510,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/golyam_sechko_run_middle_9km.gpx,TrailSeries – Golyam Sechko Run - Middle 9KM
Golyam Sechko Run,Golyam Sechko Run 9.4km,golyam-sechko-run-94km,9.37,566,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/golyam_sechko_run_12_4km_0.gpx,TrailSeries – Golyam Sechko Run 9.4km
Golyam Sechko Run,Golyam Sechko Run - 15KM long,golyam-sechko-run-15km-long,14.9,712,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/golyam_sechko_run_15km_long_0.gpx,TrailSeries – Golyam Sechko Run - 15KM long
Golyam Sechko Run,Golyam Sechko Run 16K,golyam-sechko-run-16k,15.37,717,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/golyam_sechko_run_16k_0.gpx,TrailSeries – Golyam Sechko Run 16K
iRan Run,iRan Run 5.2km,iran-run-52km,5.19,216,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/iran_run_5_5km.gpx,TrailSeries – iRan Run 5.2km
iRan Run,iRan Run 11.5km,iran-run-115km,11.57,453,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/11_5km_0.gpx,TrailSeries – iRan Run 11.5km
iRan Run,iRan Run 16.7km,iran-run-167km,16.82,583,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/iran_run_16_7km.gpx,TrailSeries – iRan Run 16.7km
Lyulin Trail Run,Lyulin Trail Run 6KM,lyulin-trail-run-6km,5.56,243,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/lyulin_trail_run_6km.gpx,TrailSeries – Lyulin Trail Run 6KM
Lyulin Trail Run,Lyulin Trail Run 12km - 2019 update,lyulin-trail-run-12km-2019-update,11.55,556,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/lyulin_trail_run_12km_2019_update.gpx,TrailSeries – Lyulin Trail Run 12km - 2019 update
Lyulin Trail Run,Lyulin Trail Run 16KM,lyulin-trail-run-16km-0,15.95,724,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/lyulin_trail_run_16km.gpx,TrailSeries – Lyulin Trail Run 16KM
Lyulin Trail Run,Lyulin Trail Run 17km - 2019 update,lyulin-trail-run-17km-2019-update,17.12,803,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/lyulin_trail_run_18km_2019_update_0.gpx,TrailSeries – Lyulin Trail Run 17km - 2019 update
Malak Sechko Run,Malak Sechko Run - 6KM,malak-sechko-run-6km,5.83,397,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/6km.gpx,TrailSeries – Malak Sechko Run - 6KM
Malak Sechko Run,Malak Sechko Run - 13KM,malak-sechko-run-13km,12.78,440,,TrailSeries – Malak Sechko Run - 13KM
Malak Sechko Run,Malak Sechko Run - 19KM,malak-sechko-run-19km,18.63,688,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/malak_sechko_run_19km.gpx,TrailSeries – Malak Sechko Run - 19KM
Palakaria,Palakaria 5km,palakaria-5km,4.91,123,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/palakaria_5km.gpx,TrailSeries – Palakaria 5km
Palakaria,Palakaria 10.7km,palakaria-107km,10.75,326,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/palakaria_10_7km.gpx,TrailSeries – Palakaria 10.7km
Palakaria,Palakaria 21.5KM,palakaria-215km,21.29,681,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/palakaria_21_5km.gpx,TrailSeries – Palakaria 21.5KM
Pancharevo Night Run,Pancharevo Night Run 6.3KM,pancharevo-night-run-63km,6.46,315,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/pancharevo_night_run_6_3km.gpx,TrailSeries – Pancharevo Night Run 6.3KM
Pancharevo Night Run,Pancharevo Night Run 13.6KM,pancharevo-night-run-136km-0,13.69,826,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/pancharevo_night_run_13_6km.gpx,TrailSeries – Pancharevo Night Run 13.6KM
Pancharevo Night Run,Pancharevo Night Run 19KM,pancharevo-night-run-19km,18.81,924,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/pancharevo_night_run_19km_0.gpx,TrailSeries – Pancharevo Night Run 19KM
Pirin Skyrun,Pirin Skyrun 10KM,pirin-skyrun-10km,9.77,1312,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/pirin_skyrun_10km.gpx,TrailSeries – Pirin Skyrun 10KM
